# n1c/mol     n2c/mol      n1d/mmol     n2d/mmol     Q/J
 3.70000e-03  6.07163e-04  0.00000e+00  2.24875e-02  1.45650e-01
 3.70000e-03  6.29650e-04  0.00000e+00  2.24875e-02  1.43290e-01
 3.70000e-03  6.52138e-04  0.00000e+00  2.24875e-02  1.42040e-01
 3.70000e-03  6.74625e-04  0.00000e+00  2.24875e-02  1.40430e-01
 3.70000e-03  6.97113e-04  0.00000e+00  2.24875e-02  1.38730e-01
 3.70000e-03  7.19600e-04  0.00000e+00  2.24875e-02  1.37440e-01
 3.70000e-03  7.42088e-04  0.00000e+00  2.24875e-02  1.35280e-01
 3.70000e-03  7.64575e-04  0.00000e+00  2.24875e-02  1.33180e-01
 3.70000e-03  7.87063e-04  0.00000e+00  2.24875e-02  1.31470e-01
 3.70000e-03  8.09550e-04  0.00000e+00  2.24875e-02  1.30860e-01
 3.70000e-03  8.32038e-04  0.00000e+00  2.24875e-02  1.29850e-01
 3.70000e-03  8.54525e-04  0.00000e+00  2.24875e-02  1.28530e-01
 3.70000e-03  8.77013e-04  0.00000e+00  2.24875e-02  1.27040e-01
 3.70000e-03  8.99500e-04  0.00000e+00  2.24875e-02  1.25180e-01
 3.70000e-03  9.21988e-04  0.00000e+00  2.24875e-02  1.24420e-01
 3.70000e-03  9.44475e-04  0.00000e+00  2.24875e-02  1.23740e-01
 3.70000e-03  9.66963e-04  0.00000e+00  2.24875e-02  1.21840e-01
 3.70000e-03  9.89450e-04  0.00000e+00  2.24875e-02  1.20560e-01
 3.70000e-03  1.01194e-03  0.00000e+00  2.24875e-02  1.19700e-01
 3.70000e-03  1.03443e-03  0.00000e+00  2.24875e-02  1.18570e-01
 3.70000e-03  1.05691e-03  0.00000e+00  2.24875e-02  1.17320e-01
 3.70000e-03  1.07940e-03  0.00000e+00  2.24875e-02  1.15410e-01
 3.70000e-03  1.10189e-03  0.00000e+00  2.24875e-02  1.14810e-01
 3.70000e-03  1.12438e-03  0.00000e+00  2.24875e-02  1.13900e-01
 3.70000e-03  1.14686e-03  0.00000e+00  2.24875e-02  1.12370e-01
